sec_20
   1.0000000    0.0000000
   0.9996145    0.0001312
   0.9984587    0.0005246
   0.9965342    0.0011796
   0.9938442    0.0020921
   0.9903926    0.0032617
   0.9861850    0.0046685
   0.9812276    0.0062998
   0.9755283    0.0081850
   0.9690957    0.0102393
   0.9619398    0.0125166
   0.9540716    0.0149651
   0.9455033    0.0175543
   0.9362480    0.0203154
   0.9263201    0.0231888
   0.9157348    0.0261944
   0.9045085    0.0292687
   0.8926585    0.0324057
   0.8802030    0.0356073
   0.8671613    0.0388360
   0.8535534    0.0420662
   0.8394004    0.0453030
   0.8247240    0.0485105
   0.8095470    0.0516896
   0.7938926    0.0547955
   0.7777851    0.0578290
   0.7612493    0.0607817
   0.7443106    0.0636168
   0.7269952    0.0663373
   0.7093299    0.0689267
   0.6913417    0.0713845
   0.6730585    0.0736670
   0.6545085    0.0758076
   0.6357202    0.0777681
   0.6167227    0.0795411
   0.5975452    0.0811348
   0.5782172    0.0825319
   0.5587687    0.0837391
   0.5392295    0.0847188
   0.5196299    0.0855136
   0.5000000    0.0861060
   0.4803701    0.0864940
   0.4607705    0.0866768
   0.4412313    0.0866547
   0.4217828    0.0864290
   0.4024548    0.0860021
   0.3832773    0.0853763
   0.3642798    0.0845436
   0.3454915    0.0835232
   0.3269415    0.0823203
   0.3086583    0.0809410
   0.2906701    0.0793930
   0.2730048    0.0776916
   0.2556894    0.0758134
   0.2387507    0.0738091
   0.2222149    0.0716524
   0.2061074    0.0693633
   0.1904530    0.0669321
   0.1752760    0.0644320
   0.1605996    0.0618065
   0.1464466    0.0590793
   0.1328387    0.0562861
   0.1197970    0.0534035
   0.1073415    0.0504703
   0.0954915    0.0474737
   0.0842652    0.0444340
   0.0736799    0.0413821
   0.0637520    0.0383063
   0.0544967    0.0352083
   0.0459284    0.0321015
   0.0380602    0.0290028
   0.0309043    0.0259675
   0.0244717    0.0229279
   0.0187724    0.0199371
   0.0138150    0.0169979
   0.0096074    0.0141083
   0.0061558    0.0112783
   0.0034658    0.0085349
   0.0015413    0.0058867
   0.0003855    0.0033560
   0.0000000    0.0014746
   0.0003855   -0.0017105
   0.0015413   -0.0039231
   0.0034658   -0.0060557
   0.0061558   -0.0080422
   0.0096074   -0.0099981
   0.0138150   -0.0120630
   0.0187724   -0.0140423
   0.0244717   -0.0159364
   0.0309043   -0.0177609
   0.0380602   -0.0194603
   0.0459284   -0.0209647
   0.0544967   -0.0223074
   0.0637520   -0.0234634
   0.0736799   -0.0244442
   0.0842652   -0.0252337
   0.0954915   -0.0258423
   0.1073415   -0.0262609
   0.1197970   -0.0265239
   0.1328387   -0.0266140
   0.1464466   -0.0265300
   0.1605996   -0.0262735
   0.1752760   -0.0258925
   0.1904530   -0.0253448
   0.2061074   -0.0246573
   0.2222149   -0.0238421
   0.2387507   -0.0229127
   0.2556894   -0.0218346
   0.2730048   -0.0206652
   0.2906701   -0.0194398
   0.3086583   -0.0181162
   0.3269415   -0.0167436
   0.3454915   -0.0153167
   0.3642798   -0.0137484
   0.3832773   -0.0121694
   0.4024548   -0.0105903
   0.4217828   -0.0089635
   0.4412313   -0.0073422
   0.4607705   -0.0057048
   0.4803701   -0.0040832
   0.5000000   -0.0024735
   0.5196299   -0.0008971
   0.5392295    0.0006259
   0.5587687    0.0021278
   0.5782172    0.0035766
   0.5975452    0.0049608
   0.6167227    0.0062813
   0.6357202    0.0075105
   0.6545085    0.0086638
   0.6730585    0.0097238
   0.6913417    0.0106757
   0.7093299    0.0115266
   0.7269952    0.0122626
   0.7443106    0.0128789
   0.7612493    0.0133819
   0.7777851    0.0137607
   0.7938926    0.0139960
   0.8095470    0.0141290
   0.8247240    0.0141398
   0.8394004    0.0140068
   0.8535534    0.0137920
   0.8671613    0.0134343
   0.8802030    0.0129614
   0.8926585    0.0123837
   0.9045085    0.0117125
   0.9157348    0.0109459
   0.9263201    0.0100977
   0.9362480    0.0092114
   0.9455033    0.0082579
   0.9540716    0.0072632
   0.9619398    0.0062885
   0.9690957    0.0053003
   0.9755283    0.0043558
   0.9812276    0.0034528
   0.9861850    0.0026088
   0.9903926    0.0018481
   0.9938442    0.0012194
   0.9965342    0.0006624
   0.9984587    0.0002944
   0.9996145    0.0000736
   1.0000000    0.0000000
