 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  69.118       Cref =  7.0161       Bref =  15.538    
  Xref =  4.2356       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Centrebody_Wing                         
     # Chordwise = 14   # Spanwise = 60     First strip =  1
     Surface area Ssurf =   35.226474     Ave. chord Cave =    4.495553

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.07355     Clsurf  =  -0.02058
     CYsurf  =  -0.00949     Cmsurf  =  -0.03418
     CDsurf  =   0.00214     Cnsurf  =   0.00120
     CDisurf =   0.00214     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.14550     CDsurf  =   0.00419

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    37   4.2997   3.4454   0.5943   3.7086   0.4399   0.5729  -0.0025   0.2844   0.1547   0.0030   0.0000  -0.0716  -0.0659    0.713
    38   4.5747   3.6473   0.6321   3.3431   0.7931   0.5947   0.0063   0.3277   0.1782   0.0026   0.0000  -0.0804  -0.0748    0.701
    39   4.8497   3.8492   0.6698   2.9777   0.3532   0.6133   0.0056   0.3791   0.2062   0.0046   0.0000  -0.0903  -0.0849    0.688
    40   4.9313   3.9132   0.6817   2.8828   0.3579   0.6154   0.0078   0.3895   0.2137   0.0048   0.0000  -0.0928  -0.0948    0.684
    41   5.1837   4.1247   0.7204   2.6352   0.6542   0.6391   0.0138   0.4427   0.2429   0.0046   0.0000  -0.0984  -0.1031    0.655
    42   5.4361   4.3362   0.7591   2.3875   0.2964   0.6597   0.0114   0.5042   0.2767   0.0056   0.0000  -0.1033  -0.1118    0.623
    43   5.5102   4.4030   0.7708   2.3232   0.3002   0.6639   0.0111   0.4892   0.2861   0.0061   0.0000  -0.1048  -0.1239    0.616
    44   5.7368   4.6238   0.8076   2.1550   0.5569   0.6949   0.0212   0.5519   0.3228   0.0073   0.0000  -0.1061  -0.1312    0.579
    45   5.9634   4.8446   0.8444   1.9867   0.2567   0.7261   0.0275   0.6254   0.3659   0.0090   0.0000  -0.1061  -0.1388    0.540
    46   6.0299   4.9142   0.8554   1.9404   0.2603   0.7332   0.0291   0.5899   0.3781   0.0102   0.0000  -0.1068  -0.1515    0.532
    47   6.2331   5.1440   0.8896   1.8094   0.4854   0.7681   0.0382   0.6625   0.4247   0.0138   0.0000  -0.1043  -0.1583    0.495
    48   6.4363   5.3738   0.9239   1.6783   0.2251   0.8027   0.0478   0.7461   0.4783   0.0181   0.0000  -0.1003  -0.1655    0.460
    49   6.4962   5.4462   0.9341   1.6415   0.2281   0.8101   0.0506   0.7111   0.4934   0.0200   0.0000  -0.1004  -0.1779    0.453
    50   6.6798   5.6848   0.9660   1.5347   0.4265   0.8441   0.0615   0.7924   0.5498   0.0235   0.0000  -0.0984  -0.1875    0.429
    51   6.8635   5.9233   0.9980   1.4278   0.1984   0.8741   0.0744   0.8818   0.6118   0.0276   0.0000  -0.0954  -0.1975    0.406
    52   6.9180   5.9985   1.0072   1.3977   0.2007   0.8802   0.0784   0.8541   0.6293   0.0298   0.0000  -0.0955  -0.2094    0.402
    53   7.0863   6.2456   1.0350   1.3094   0.3760   0.9029   0.0921   0.9351   0.6889   0.0346   0.0000  -0.0932  -0.2200    0.385
    54   7.2547   6.4927   1.0628   1.2211   0.1753   0.9143   0.1097   1.0151   0.7479   0.0397   0.0000  -0.0892  -0.2289    0.369
    55   7.3050   6.5705   1.0712   1.1961   0.1774   0.9154   0.1157   0.9933   0.7643   0.0424   0.0000  -0.0891  -0.2393    0.367
    56   7.4619   6.8260   1.0975   1.1226   0.3329   0.9069   0.1392   1.0482   0.8066   0.0476   0.0000  -0.0876  -0.2472    0.359
    57   7.6187   7.0815   1.1238   1.0490   0.1556   0.8616   0.1706   1.0653   0.8197   0.0524   0.0000  -0.0831  -0.2461    0.351
    58   7.6658   7.1618   1.1316   1.0279   0.1572   0.8471   0.1817   1.0313   0.8224   0.0537   0.0000  -0.0833  -0.2528    0.351
    59   7.8131   7.4255   1.1557   0.9649   0.2950   0.7178   0.2269   0.9307   0.7422   0.0504   0.0000  -0.0854  -0.2371    0.365
    60   7.9605   7.6892   1.1798   0.9019   0.1379   0.3205   0.3234   0.4441   0.3541   0.0294   0.0000  -0.0502  -0.1215    0.392

  Surface # 2     Centrebody_Wing (YDUP)                  
     # Chordwise = 14   # Spanwise = 60     First strip = 61
     Surface area Ssurf =   35.226474     Ave. chord Cave =    4.495553

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.07355     Clsurf  =   0.02058
     CYsurf  =   0.00949     Cmsurf  =  -0.03418
     CDsurf  =   0.00214     Cnsurf  =  -0.00120
     CDisurf =   0.00214     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.14550     CDsurf  =   0.00419

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    61   0.0670  -0.0051   0.0566  10.2630   0.1644   0.2509   0.0238   0.0244   0.0243   0.0027   0.0000  -0.0134   0.0195    0.803
    62   0.0691  -0.0328   0.0557  10.2602   0.3287   0.3517   0.0235   0.0343   0.0342   0.0024   0.0000  -0.0187   0.0271    0.796
    63   0.0713  -0.0605   0.0549  10.2573   0.1643   0.3476   0.0229   0.0335   0.0335   0.0070   0.0000  -0.0198   0.0282    0.841
    64   0.0745  -0.0735   0.0534  10.2539   0.3371   0.3783   0.0223   0.0385   0.0367   0.0043   0.0000  -0.0206   0.0284    0.812
    65   0.0929  -0.1299   0.0451  10.2347   0.6730   0.4337   0.0211   0.0445   0.0423   0.0024   0.0000  -0.0228   0.0318    0.789
    66   0.1113  -0.1862   0.0368  10.2155   0.3359   0.4713   0.0199   0.0482   0.0459   0.0051   0.0000  -0.0242   0.0340    0.777
    67   0.1213  -0.2068   0.0347  10.2050   0.4534   0.4717   0.0199   0.0550   0.0461   0.0039   0.0000  -0.0243   0.0307    0.777
    68   0.1678  -0.2836   0.0293  10.1568   0.9025   0.4793   0.0190   0.0564   0.0472   0.0014   0.0000  -0.0251   0.0316    0.782
    69   0.2143  -0.3603   0.0239  10.1085   0.4491   0.5141   0.0187   0.0607   0.0509   0.0018   0.0000  -0.0263   0.0334    0.767
    70   0.2323  -0.3868   0.0243  10.0896   0.5496   0.5118   0.0181   0.0663   0.0508   0.0013   0.0000  -0.0263   0.0313    0.767
    71   0.3023  -0.4808   0.0321  10.0153   1.0910   0.5029   0.0161   0.0657   0.0503   0.0003   0.0000  -0.0264   0.0313    0.775
    72   0.3723  -0.5748   0.0400   9.9411   0.5415   0.5122   0.0153   0.0674   0.0516   0.0004   0.0000  -0.0269   0.0319    0.771
    73   0.3981  -0.6062   0.0430   9.9136   0.6295   0.5129   0.0147   0.0738   0.0519   0.0001   0.0000  -0.0270   0.0300    0.770
    74   0.4944  -0.7156   0.0548   9.8101   1.2459   0.5168   0.0129   0.0752   0.0529  -0.0003   0.0000  -0.0272   0.0304    0.765
    75   0.5907  -0.8249   0.0666   9.7066   0.6164   0.5242   0.0130   0.0771   0.0542  -0.0004   0.0000  -0.0275   0.0309    0.758
    76   0.6253  -0.8609   0.0710   9.6689   0.6948   0.5246   0.0124   0.0854   0.0545  -0.0005   0.0000  -0.0276   0.0288    0.756
    77   0.7524  -0.9843   0.0876   9.5288   1.3695   0.5272   0.0104   0.0870   0.0555  -0.0005   0.0000  -0.0277   0.0290    0.748
    78   0.8796  -1.1077   0.1041   9.3887   0.6747   0.5345   0.0109   0.0895   0.0571  -0.0005   0.0000  -0.0279   0.0295    0.738
    79   0.9243  -1.1479   0.1108   9.3386   0.7489   0.5343   0.0101   0.0997   0.0574  -0.0005   0.0000  -0.0279   0.0275    0.737
    80   1.0864  -1.2842   0.1371   9.1552   1.4684   0.5359   0.0095   0.1020   0.0587  -0.0001   0.0000  -0.0281   0.0278    0.728
    81   1.2484  -1.4206   0.1635   8.9719   0.7195   0.5466   0.0108   0.1061   0.0611   0.0000   0.0000  -0.0284   0.0284    0.715
    82   1.3036  -1.4647   0.1756   8.9067   0.8095   0.5454   0.0085   0.1111   0.0614  -0.0006   0.0000  -0.0285   0.0275    0.713
    83   1.4981  -1.6133   0.2275   8.6686   1.5757   0.5436   0.0102   0.1138   0.0629  -0.0003   0.0000  -0.0285   0.0278    0.703
    84   1.6927  -1.7619   0.2794   8.4305   0.7662   0.5384   0.0117   0.1159   0.0641  -0.0010   0.0000  -0.0284   0.0279    0.694
    85   1.7604  -1.8097   0.2893   8.3376   0.7734   0.5440   0.0159   0.1256   0.0655  -0.0012   0.0000  -0.0289   0.0249    0.691
    86   2.0038  -1.9699   0.3013   7.9747   1.4795   0.5560   0.0159   0.1340   0.0699   0.0001   0.0000  -0.0306   0.0265    0.688
    87   2.2472  -2.1301   0.3133   7.6118   0.7061   0.5604   0.0129   0.1417   0.0739  -0.0012   0.0000  -0.0323   0.0279    0.686
    88   2.3268  -2.1814   0.3203   7.4654   0.7518   0.5658   0.0146   0.1176   0.0761  -0.0010   0.0000  -0.0333   0.0283    0.687
    89   2.5978  -2.3527   0.3533   6.8815   1.3860   0.5552   0.0070   0.1250   0.0809  -0.0001   0.0000  -0.0359   0.0304    0.694
    90   2.8689  -2.5240   0.3863   6.2977   0.6342   0.5490  -0.0042   0.1351   0.0874   0.0002   0.0000  -0.0393   0.0330    0.699
    91   2.9558  -2.5786   0.3980   6.1169   0.6595   0.5476  -0.0068   0.1473   0.0898   0.0002   0.0000  -0.0404   0.0339    0.700
    92   3.2465  -2.7605   0.4403   5.5323   1.1929   0.5478  -0.0054   0.1629   0.0993   0.0001   0.0000  -0.0454   0.0379    0.708
    93   3.5372  -2.9424   0.4827   4.9478   0.5334   0.5521  -0.0072   0.1835   0.1118   0.0013   0.0000  -0.0522   0.0433    0.717
    94   3.6274  -3.0002   0.4959   4.7842   0.5437   0.5495  -0.0067   0.2106   0.1150   0.0017   0.0000  -0.0539   0.0461    0.718
    95   3.9197  -3.1923   0.5388   4.3112   0.9799   0.5604  -0.0028   0.2386   0.1303   0.0009   0.0000  -0.0607   0.0521    0.716
    96   4.2120  -3.3844   0.5818   3.8383   0.4362   0.5717  -0.0056   0.2731   0.1492   0.0027   0.0000  -0.0691   0.0594    0.714
    97   4.2997  -3.4454   0.5943   3.7086   0.4399   0.5729  -0.0025   0.2844   0.1547   0.0030   0.0000  -0.0716   0.0659    0.713
    98   4.5747  -3.6473   0.6321   3.3431   0.7931   0.5947   0.0063   0.3277   0.1782   0.0026   0.0000  -0.0804   0.0748    0.701
    99   4.8497  -3.8492   0.6698   2.9777   0.3532   0.6133   0.0056   0.3791   0.2062   0.0046   0.0000  -0.0903   0.0849    0.688
   100   4.9313  -3.9132   0.6817   2.8828   0.3579   0.6154   0.0078   0.3895   0.2137   0.0048   0.0000  -0.0928   0.0948    0.684
   101   5.1837  -4.1247   0.7204   2.6352   0.6542   0.6391   0.0138   0.4427   0.2429   0.0046   0.0000  -0.0984   0.1031    0.655
   102   5.4361  -4.3362   0.7591   2.3875   0.2964   0.6597   0.0114   0.5042   0.2767   0.0056   0.0000  -0.1033   0.1118    0.623
   103   5.5102  -4.4030   0.7708   2.3232   0.3002   0.6639   0.0111   0.4892   0.2861   0.0061   0.0000  -0.1048   0.1239    0.616
   104   5.7368  -4.6238   0.8076   2.1550   0.5569   0.6949   0.0212   0.5519   0.3228   0.0073   0.0000  -0.1061   0.1312    0.579
   105   5.9634  -4.8446   0.8444   1.9867   0.2567   0.7261   0.0275   0.6254   0.3659   0.0090   0.0000  -0.1061   0.1388    0.540
   106   6.0299  -4.9142   0.8554   1.9404   0.2603   0.7332   0.0291   0.5899   0.3781   0.0102   0.0000  -0.1068   0.1515    0.532
   107   6.2331  -5.1440   0.8896   1.8094   0.4854   0.7681   0.0382   0.6625   0.4247   0.0138   0.0000  -0.1043   0.1583    0.495
   108   6.4363  -5.3738   0.9239   1.6783   0.2251   0.8027   0.0478   0.7461   0.4783   0.0181   0.0000  -0.1003   0.1655    0.460
   109   6.4962  -5.4462   0.9341   1.6415   0.2281   0.8101   0.0506   0.7111   0.4934   0.0200   0.0000  -0.1004   0.1779    0.453
   110   6.6798  -5.6848   0.9660   1.5347   0.4265   0.8441   0.0615   0.7924   0.5498   0.0235   0.0000  -0.0984   0.1875    0.429
   111   6.8635  -5.9233   0.9980   1.4278   0.1984   0.8741   0.0744   0.8818   0.6118   0.0276   0.0000  -0.0954   0.1975    0.406
   112   6.9180  -5.9985   1.0072   1.3977   0.2007   0.8802   0.0784   0.8541   0.6293   0.0298   0.0000  -0.0955   0.2094    0.402
   113   7.0863  -6.2456   1.0350   1.3094   0.3760   0.9029   0.0921   0.9351   0.6889   0.0346   0.0000  -0.0932   0.2200    0.385
   114   7.2547  -6.4927   1.0628   1.2211   0.1753   0.9143   0.1097   1.0151   0.7479   0.0397   0.0000  -0.0892   0.2289    0.369
   115   7.3050  -6.5705   1.0712   1.1961   0.1774   0.9154   0.1157   0.9933   0.7643   0.0424   0.0000  -0.0891   0.2393    0.367
   116   7.4619  -6.8260   1.0975   1.1226   0.3329   0.9069   0.1392   1.0482   0.8066   0.0476   0.0000  -0.0876   0.2472    0.359
   117   7.6187  -7.0815   1.1238   1.0490   0.1556   0.8616   0.1706   1.0653   0.8197   0.0524   0.0000  -0.0831   0.2461    0.351
   118   7.6658  -7.1618   1.1316   1.0279   0.1572   0.8471   0.1817   1.0313   0.8224   0.0537   0.0000  -0.0833   0.2528    0.351
   119   7.8131  -7.4255   1.1557   0.9649   0.2950   0.7178   0.2269   0.9307   0.7422   0.0504   0.0000  -0.0854   0.2371    0.365
   120   7.9605  -7.6892   1.1798   0.9019   0.1379   0.3205   0.3234   0.4441   0.3541   0.0294   0.0000  -0.0502   0.1215    0.392
 ---------------------------------------------------------------
